SearchBayesianSkopt: Resuming 'SLIMElasticNetRecommender' Failed, no such file exists.
SearchBayesianSkopt: New best config found. Config 0: {'l1_ratio': 0.0012348546776512251, 'topK': 1459, 'alpha': 0.06964542194937692, 'workers': 2, 'mw': 5} - results: PRECISION: 0.0436229, PRECISION_RECALL_MIN_DEN: 0.0688891, RECALL: 0.0635791, MAP: 0.0191777, MAP_MIN_DEN: 0.0300562, MRR: 0.1373283, NDCG: 0.0648991, F1: 0.0517435, HIT_RATE: 0.3117595, ARHR_ALL_HITS: 0.1616262, NOVELTY: 0.0039542, AVERAGE_POPULARITY: 0.2992674, DIVERSITY_MEAN_INTER_LIST: 0.8565554, DIVERSITY_HERFINDAHL: 0.9856493, COVERAGE_ITEM: 0.1111519, COVERAGE_ITEM_HIT: 0.0159546, ITEMS_IN_GT: 0.8586118, COVERAGE_USER: 0.9854425, COVERAGE_USER_HIT: 0.3072211, USERS_IN_GT: 0.9854425, DIVERSITY_GINI: 0.0081444, SHANNON_ENTROPY: 7.4394439, RATIO_DIVERSITY_HERFINDAHL: 0.9859714, RATIO_DIVERSITY_GINI: 0.0168545, RATIO_SHANNON_ENTROPY: 0.5523059, RATIO_AVERAGE_POPULARITY: 5.3380808, RATIO_NOVELTY: 0.2689395, 
CUTOFF: 10 - PRECISION: 0.0595288, PRECISION_RECALL_MIN_DEN: 0.0780458, RECALL: 0.0664767, MAP: 0.0284588, MAP_MIN_DEN: 0.0373515, MRR: 0.1858434, NDCG: 0.0811783, F1: 0.0628112, HIT_RATE: 0.3810801, ARHR_ALL_HITS: 0.2281495, NOVELTY: 0.0043629, AVERAGE_POPULARITY: 0.1871824, DIVERSITY_MEAN_INTER_LIST: 0.9546845, DIVERSITY_HERFINDAHL: 0.9954615, COVERAGE_ITEM: 0.2254866, COVERAGE_ITEM_HIT: 0.0361529, ITEMS_IN_GT: 0.9081487, COVERAGE_USER: 0.9941626, COVERAGE_USER_HIT: 0.3788556, USERS_IN_GT: 0.9941626, DIVERSITY_GINI: 0.0270363, SHANNON_ENTROPY: 9.2649453, RATIO_DIVERSITY_HERFINDAHL: 0.9957869, RATIO_DIVERSITY_GINI: 0.0559501, RATIO_SHANNON_ENTROPY: 0.6878315, RATIO_AVERAGE_POPULARITY: 3.3388030, RATIO_NOVELTY: 0.2967372, 

SearchBayesianSkopt: Config 5 is suboptimal. Config: {'l1_ratio': 2.152884598606886e-05, 'topK': 2292, 'alpha': 0.011286655220730994, 'workers': 2, 'mw': 7} - results: PRECISION: 0.0469577, PRECISION_RECALL_MIN_DEN: 0.0733830, RECALL: 0.0675943, MAP: 0.0210658, MAP_MIN_DEN: 0.0327816, MRR: 0.1478036, NDCG: 0.0699236, F1: 0.0554172, HIT_RATE: 0.3283604, ARHR_ALL_HITS: 0.1756101, NOVELTY: 0.0041068, AVERAGE_POPULARITY: 0.2514747, DIVERSITY_MEAN_INTER_LIST: 0.9091676, DIVERSITY_HERFINDAHL: 0.9909101, COVERAGE_ITEM: 0.1355531, COVERAGE_ITEM_HIT: 0.0222793, ITEMS_IN_GT: 0.8586118, COVERAGE_USER: 0.9854425, COVERAGE_USER_HIT: 0.3235803, USERS_IN_GT: 0.9854425, DIVERSITY_GINI: 0.0127417, SHANNON_ENTROPY: 8.1837191, RATIO_DIVERSITY_HERFINDAHL: 0.9912340, RATIO_DIVERSITY_GINI: 0.0263682, RATIO_SHANNON_ENTROPY: 0.6075610, RATIO_AVERAGE_POPULARITY: 4.4855947, RATIO_NOVELTY: 0.2793181, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'l1_ratio': 0.0020206535543612434, 'topK': 5479, 'alpha': 0.05264723169638165, 'workers': 2, 'mw': 10} - results: PRECISION: 0.0432500, PRECISION_RECALL_MIN_DEN: 0.0680738, RECALL: 0.0627857, MAP: 0.0188702, MAP_MIN_DEN: 0.0295249, MRR: 0.1357396, NDCG: 0.0640273, F1: 0.0512182, HIT_RATE: 0.3105163, ARHR_ALL_HITS: 0.1594255, NOVELTY: 0.0040009, AVERAGE_POPULARITY: 0.2838461, DIVERSITY_MEAN_INTER_LIST: 0.8744109, DIVERSITY_HERFINDAHL: 0.9874347, COVERAGE_ITEM: 0.1284939, COVERAGE_ITEM_HIT: 0.0168523, ITEMS_IN_GT: 0.8586118, COVERAGE_USER: 0.9854425, COVERAGE_USER_HIT: 0.3059960, USERS_IN_GT: 0.9854425, DIVERSITY_GINI: 0.0097794, SHANNON_ENTROPY: 7.6663623, RATIO_DIVERSITY_HERFINDAHL: 0.9877574, RATIO_DIVERSITY_GINI: 0.0202380, RATIO_SHANNON_ENTROPY: 0.5691523, RATIO_AVERAGE_POPULARITY: 5.0630085, RATIO_NOVELTY: 0.2721168, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'l1_ratio': 7.340355421643276e-05, 'topK': 299, 'alpha': 0.004729430793986104, 'workers': 2, 'mw': 5} - results: PRECISION: 0.0478865, PRECISION_RECALL_MIN_DEN: 0.0744177, RECALL: 0.0684704, MAP: 0.0215379, MAP_MIN_DEN: 0.0331888, MRR: 0.1495819, NDCG: 0.0708684, F1: 0.0563578, HIT_RATE: 0.3317976, ARHR_ALL_HITS: 0.1786011, NOVELTY: 0.0042679, AVERAGE_POPULARITY: 0.2082322, DIVERSITY_MEAN_INTER_LIST: 0.9416915, DIVERSITY_HERFINDAHL: 0.9941623, COVERAGE_ITEM: 0.1970049, COVERAGE_ITEM_HIT: 0.0280736, ITEMS_IN_GT: 0.8586118, COVERAGE_USER: 0.9854425, COVERAGE_USER_HIT: 0.3269674, USERS_IN_GT: 0.9854425, DIVERSITY_GINI: 0.0210389, SHANNON_ENTROPY: 8.8656539, RATIO_DIVERSITY_HERFINDAHL: 0.9944872, RATIO_DIVERSITY_GINI: 0.0435389, RATIO_SHANNON_ENTROPY: 0.6581880, RATIO_AVERAGE_POPULARITY: 3.7142709, RATIO_NOVELTY: 0.2902786, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'l1_ratio': 0.0011115060689877187, 'topK': 2780, 'alpha': 0.030365420223152487, 'workers': 2, 'mw': 4} - results: PRECISION: 0.0462118, PRECISION_RECALL_MIN_DEN: 0.0725316, RECALL: 0.0668922, MAP: 0.0204966, MAP_MIN_DEN: 0.0321090, MRR: 0.1456446, NDCG: 0.0688402, F1: 0.0546613, HIT_RATE: 0.3262396, ARHR_ALL_HITS: 0.1720376, NOVELTY: 0.0040272, AVERAGE_POPULARITY: 0.2745928, DIVERSITY_MEAN_INTER_LIST: 0.8858775, DIVERSITY_HERFINDAHL: 0.9885813, COVERAGE_ITEM: 0.1207002, COVERAGE_ITEM_HIT: 0.0188110, ITEMS_IN_GT: 0.8586118, COVERAGE_USER: 0.9854425, COVERAGE_USER_HIT: 0.3214903, USERS_IN_GT: 0.9854425, DIVERSITY_GINI: 0.0101297, SHANNON_ENTROPY: 7.8099806, RATIO_DIVERSITY_HERFINDAHL: 0.9889044, RATIO_DIVERSITY_GINI: 0.0209629, RATIO_SHANNON_ENTROPY: 0.5798146, RATIO_AVERAGE_POPULARITY: 4.8979571, RATIO_NOVELTY: 0.2739030, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'l1_ratio': 0.00014497905619555276, 'topK': 530, 'alpha': 0.03190067670783326, 'workers': 2, 'mw': 2} - results: PRECISION: 0.0466506, PRECISION_RECALL_MIN_DEN: 0.0732414, RECALL: 0.0675875, MAP: 0.0205793, MAP_MIN_DEN: 0.0322876, MRR: 0.1456412, NDCG: 0.0692403, F1: 0.0552004, HIT_RATE: 0.3283604, ARHR_ALL_HITS: 0.1724100, NOVELTY: 0.0040233, AVERAGE_POPULARITY: 0.2745847, DIVERSITY_MEAN_INTER_LIST: 0.8858667, DIVERSITY_HERFINDAHL: 0.9885802, COVERAGE_ITEM: 0.1164973, COVERAGE_ITEM_HIT: 0.0189334, ITEMS_IN_GT: 0.8586118, COVERAGE_USER: 0.9854425, COVERAGE_USER_HIT: 0.3235803, USERS_IN_GT: 0.9854425, DIVERSITY_GINI: 0.0098073, SHANNON_ENTROPY: 7.7873015, RATIO_DIVERSITY_HERFINDAHL: 0.9889033, RATIO_DIVERSITY_GINI: 0.0202956, RATIO_SHANNON_ENTROPY: 0.5781309, RATIO_AVERAGE_POPULARITY: 4.8978120, RATIO_NOVELTY: 0.2736423, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'l1_ratio': 0.0060022266321380835, 'topK': 1604, 'alpha': 0.0718997706140572, 'workers': 2, 'mw': 0} - results: PRECISION: 0.0421822, PRECISION_RECALL_MIN_DEN: 0.0671389, RECALL: 0.0620788, MAP: 0.0186194, MAP_MIN_DEN: 0.0293584, MRR: 0.1345989, NDCG: 0.0632784, F1: 0.0502320, HIT_RATE: 0.3051046, ARHR_ALL_HITS: 0.1577343, NOVELTY: 0.0039194, AVERAGE_POPULARITY: 0.3153998, DIVERSITY_MEAN_INTER_LIST: 0.8332107, DIVERSITY_HERFINDAHL: 0.9833150, COVERAGE_ITEM: 0.0408455, COVERAGE_ITEM_HIT: 0.0135063, ITEMS_IN_GT: 0.8586118, COVERAGE_USER: 0.9854425, COVERAGE_USER_HIT: 0.3006630, USERS_IN_GT: 0.9854425, DIVERSITY_GINI: 0.0047505, SHANNON_ENTROPY: 7.0136266, RATIO_DIVERSITY_HERFINDAHL: 0.9836363, RATIO_DIVERSITY_GINI: 0.0098309, RATIO_SHANNON_ENTROPY: 0.5206931, RATIO_AVERAGE_POPULARITY: 5.6612710, RATIO_NOVELTY: 0.2665263, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'l1_ratio': 0.0004795333205175778, 'topK': 201, 'alpha': 0.057627107298907854, 'workers': 2, 'mw': 7} - results: PRECISION: 0.0438496, PRECISION_RECALL_MIN_DEN: 0.0689138, RECALL: 0.0635440, MAP: 0.0193424, MAP_MIN_DEN: 0.0302360, MRR: 0.1386146, NDCG: 0.0652186, F1: 0.0518910, HIT_RATE: 0.3133684, ARHR_ALL_HITS: 0.1630787, NOVELTY: 0.0039985, AVERAGE_POPULARITY: 0.2840493, DIVERSITY_MEAN_INTER_LIST: 0.8738263, DIVERSITY_HERFINDAHL: 0.9873762, COVERAGE_ITEM: 0.1293508, COVERAGE_ITEM_HIT: 0.0169747, ITEMS_IN_GT: 0.8586118, COVERAGE_USER: 0.9854425, COVERAGE_USER_HIT: 0.3088066, USERS_IN_GT: 0.9854425, DIVERSITY_GINI: 0.0097041, SHANNON_ENTROPY: 7.6505319, RATIO_DIVERSITY_HERFINDAHL: 0.9876989, RATIO_DIVERSITY_GINI: 0.0200822, RATIO_SHANNON_ENTROPY: 0.5679771, RATIO_AVERAGE_POPULARITY: 5.0666344, RATIO_NOVELTY: 0.2719545, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'l1_ratio': 0.003933337155087001, 'topK': 1504, 'alpha': 0.05531792149523178, 'workers': 2, 'mw': 2} - results: PRECISION: 0.0441129, PRECISION_RECALL_MIN_DEN: 0.0698803, RECALL: 0.0645239, MAP: 0.0194704, MAP_MIN_DEN: 0.0305650, MRR: 0.1395299, NDCG: 0.0658459, F1: 0.0524010, HIT_RATE: 0.3154161, ARHR_ALL_HITS: 0.1641141, NOVELTY: 0.0039732, AVERAGE_POPULARITY: 0.2969468, DIVERSITY_MEAN_INTER_LIST: 0.8593323, DIVERSITY_HERFINDAHL: 0.9859269, COVERAGE_ITEM: 0.1505284, COVERAGE_ITEM_HIT: 0.0158322, ITEMS_IN_GT: 0.8586118, COVERAGE_USER: 0.9854425, COVERAGE_USER_HIT: 0.3108244, USERS_IN_GT: 0.9854425, DIVERSITY_GINI: 0.0100718, SHANNON_ENTROPY: 7.5282567, RATIO_DIVERSITY_HERFINDAHL: 0.9862492, RATIO_DIVERSITY_GINI: 0.0208431, RATIO_SHANNON_ENTROPY: 0.5588994, RATIO_AVERAGE_POPULARITY: 5.2966886, RATIO_NOVELTY: 0.2702345, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'l1_ratio': 0.047707601024846905, 'topK': 4289, 'alpha': 0.07116380478059794, 'workers': 2, 'mw': 1} - results: PRECISION: 0.0304081, PRECISION_RECALL_MIN_DEN: 0.0469139, RECALL: 0.0430164, MAP: 0.0139582, MAP_MIN_DEN: 0.0215702, MRR: 0.1055945, NDCG: 0.0465810, F1: 0.0356297, HIT_RATE: 0.2279509, ARHR_ALL_HITS: 0.1210871, NOVELTY: 0.0044024, AVERAGE_POPULARITY: 0.2849201, DIVERSITY_MEAN_INTER_LIST: 0.7840936, DIVERSITY_HERFINDAHL: 0.9784036, COVERAGE_ITEM: 0.0061615, COVERAGE_ITEM_HIT: 0.0041621, ITEMS_IN_GT: 0.8586118, COVERAGE_USER: 0.9854425, COVERAGE_USER_HIT: 0.2246325, USERS_IN_GT: 0.9854425, DIVERSITY_GINI: 0.0019013, SHANNON_ENTROPY: 5.9429419, RATIO_DIVERSITY_HERFINDAHL: 0.9787234, RATIO_DIVERSITY_GINI: 0.0039346, RATIO_SHANNON_ENTROPY: 0.4412052, RATIO_AVERAGE_POPULARITY: 5.0821655, RATIO_NOVELTY: 0.2994217, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'l1_ratio': 3.63506312236363e-05, 'topK': 226, 'alpha': 0.08844577185072464, 'workers': 2, 'mw': 6} - results: PRECISION: 0.0431841, PRECISION_RECALL_MIN_DEN: 0.0680547, RECALL: 0.0627949, MAP: 0.0189015, MAP_MIN_DEN: 0.0296489, MRR: 0.1356111, NDCG: 0.0640905, F1: 0.0511751, HIT_RATE: 0.3094925, ARHR_ALL_HITS: 0.1594788, NOVELTY: 0.0039542, AVERAGE_POPULARITY: 0.3004447, DIVERSITY_MEAN_INTER_LIST: 0.8536243, DIVERSITY_HERFINDAHL: 0.9853562, COVERAGE_ITEM: 0.1260864, COVERAGE_ITEM_HIT: 0.0158730, ITEMS_IN_GT: 0.8586118, COVERAGE_USER: 0.9854425, COVERAGE_USER_HIT: 0.3049870, USERS_IN_GT: 0.9854425, DIVERSITY_GINI: 0.0086786, SHANNON_ENTROPY: 7.4258232, RATIO_DIVERSITY_HERFINDAHL: 0.9856782, RATIO_DIVERSITY_GINI: 0.0179599, RATIO_SHANNON_ENTROPY: 0.5512947, RATIO_AVERAGE_POPULARITY: 5.3590811, RATIO_NOVELTY: 0.2689420, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'l1_ratio': 1.309729875199794e-05, 'topK': 1145, 'alpha': 0.08143168095516766, 'workers': 2, 'mw': 9} - results: PRECISION: 0.0426795, PRECISION_RECALL_MIN_DEN: 0.0673615, RECALL: 0.0621609, MAP: 0.0186835, MAP_MIN_DEN: 0.0292577, MRR: 0.1346868, NDCG: 0.0634006, F1: 0.0506102, HIT_RATE: 0.3065672, ARHR_ALL_HITS: 0.1580098, NOVELTY: 0.0039447, AVERAGE_POPULARITY: 0.3011645, DIVERSITY_MEAN_INTER_LIST: 0.8540694, DIVERSITY_HERFINDAHL: 0.9854007, COVERAGE_ITEM: 0.0979720, COVERAGE_ITEM_HIT: 0.0158730, ITEMS_IN_GT: 0.8586118, COVERAGE_USER: 0.9854425, COVERAGE_USER_HIT: 0.3021044, USERS_IN_GT: 0.9854425, DIVERSITY_GINI: 0.0074786, SHANNON_ENTROPY: 7.3811210, RATIO_DIVERSITY_HERFINDAHL: 0.9857227, RATIO_DIVERSITY_GINI: 0.0154766, RATIO_SHANNON_ENTROPY: 0.5479760, RATIO_AVERAGE_POPULARITY: 5.3719204, RATIO_NOVELTY: 0.2682921, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'l1_ratio': 0.0004129916304063373, 'topK': 5654, 'alpha': 0.031231841085061805, 'workers': 2, 'mw': 4} - results: PRECISION: 0.0462922, PRECISION_RECALL_MIN_DEN: 0.0727404, RECALL: 0.0671175, MAP: 0.0204793, MAP_MIN_DEN: 0.0321273, MRR: 0.1455967, NDCG: 0.0689203, F1: 0.0547928, HIT_RATE: 0.3271903, ARHR_ALL_HITS: 0.1719621, NOVELTY: 0.0040187, AVERAGE_POPULARITY: 0.2768548, DIVERSITY_MEAN_INTER_LIST: 0.8836464, DIVERSITY_HERFINDAHL: 0.9883582, COVERAGE_ITEM: 0.1156404, COVERAGE_ITEM_HIT: 0.0189334, ITEMS_IN_GT: 0.8586118, COVERAGE_USER: 0.9854425, COVERAGE_USER_HIT: 0.3224272, USERS_IN_GT: 0.9854425, DIVERSITY_GINI: 0.0097117, SHANNON_ENTROPY: 7.7687872, RATIO_DIVERSITY_HERFINDAHL: 0.9886812, RATIO_DIVERSITY_GINI: 0.0200978, RATIO_SHANNON_ENTROPY: 0.5767564, RATIO_AVERAGE_POPULARITY: 4.9383037, RATIO_NOVELTY: 0.2733240, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'l1_ratio': 0.0011577475353894838, 'topK': 2730, 'alpha': 0.002447957496340353, 'workers': 2, 'mw': 5} - results: PRECISION: 0.0474916, PRECISION_RECALL_MIN_DEN: 0.0736096, RECALL: 0.0676299, MAP: 0.0216549, MAP_MIN_DEN: 0.0334530, MRR: 0.1509062, NDCG: 0.0708952, F1: 0.0557993, HIT_RATE: 0.3287260, ARHR_ALL_HITS: 0.1798315, NOVELTY: 0.0042286, AVERAGE_POPULARITY: 0.2274494, DIVERSITY_MEAN_INTER_LIST: 0.9288885, DIVERSITY_HERFINDAHL: 0.9928821, COVERAGE_ITEM: 0.2163464, COVERAGE_ITEM_HIT: 0.0277064, ITEMS_IN_GT: 0.8586118, COVERAGE_USER: 0.9854425, COVERAGE_USER_HIT: 0.3239406, USERS_IN_GT: 0.9854425, DIVERSITY_GINI: 0.0217851, SHANNON_ENTROPY: 8.7596836, RATIO_DIVERSITY_HERFINDAHL: 0.9932066, RATIO_DIVERSITY_GINI: 0.0450832, RATIO_SHANNON_ENTROPY: 0.6503207, RATIO_AVERAGE_POPULARITY: 4.0570516, RATIO_NOVELTY: 0.2876002, 
