,topK,l1_ratio,alpha
56,6498,0.0035959799114248132,0.06482110467149108
57,4097,0.007607842599140522,0.06451982007605274
58,4961,0.012066560771751684,0.09234099956393775
59,1658,0.05550834496927677,0.039364859150379544
60,2918,0.00734841304473696,0.03377511037783994
61,7438,0.09833458740247251,0.06010332187626712
62,3341,0.002796795024145957,0.07648777923308465
63,9341,0.006717138729898075,0.07428215923920096
64,3083,0.001447091517417781,0.04325241401625891
65,3660,0.0021212414580375747,0.09528258110102351
66,8202,0.06154570067380452,0.0534743273521403
67,9175,0.011528143738542418,0.01011192301738724
68,7838,0.0018473150224154456,0.020575022837046174
69,8312,0.019224476804007327,0.06642953194805827
70,6297,0.008338346544041158,0.0857861747841446
71,5929,0.01047601138704751,0.0386569318534854
72,8397,0.007867486412662498,0.0663918834672414
73,9847,0.062421146620671865,0.09247916272544912
74,3436,0.004269983979832257,0.00894588243572134
75,7566,0.006412080416161188,0.008914007774138859
76,4383,0.04619657308102344,0.00537362661360567
77,5132,0.05920803810711698,0.06210401553407658
78,3482,0.0044913380663535495,0.08880004130599824
79,9024,0.004893798283129609,0.07653851016524897
80,3136,0.001552909879008676,0.038406165001087234
81,5857,0.0030689898759958005,0.06502205312267495
82,6712,0.04078650297575516,0.058256954951999486
83,4344,0.001261539664346153,0.028299011533673566
84,7072,0.0019214892967431634,0.027381620303640206
85,8585,0.001231919764700231,0.09931415155786873
86,4793,0.0022501836388253344,0.028705342404388143
87,6758,0.05570377224405297,0.09949955777338888
88,8866,0.004771497158598108,0.049197937878866504
89,8732,0.03764240889756802,0.058016261840555826
90,8850,0.04025594750524924,0.09861711070267604
91,1751,0.051284253179885636,0.08883835927899623
92,1851,0.05351274648396766,0.09116828370246133
93,4541,0.004824148059771283,0.08610755590603511
94,7725,0.07664123153611703,0.08591836770339059
95,8850,0.06888046512891875,0.08602441072821067
96,8545,0.0031117663932537613,0.06431854555133087
97,7023,0.020812421727322526,0.058189494039524024
98,371,0.023944568872246788,0.05232062489540207
99,9480,0.003452947065674323,0.02123413749651313
100,6099,0.003832288726155347,0.0735552313278947
101,6651,0.04832357197858646,0.09218694561428896
102,2928,0.05198686071847924,0.09853839588325808
103,4217,0.05095078960623491,0.02792000379000576
104,7695,0.044089892076515064,0.08584685941126136
105,7374,0.06353577373529291,0.03868867095663075
106,8567,0.0015503890908925835,0.06159814030616543
107,5888,0.029897565366416596,0.004187966349936557
108,7877,0.0031261803708863096,0.013043971911169232
109,1570,0.0013068686441567742,0.005687800237229496
110,9374,0.004889223988612102,0.09919484580839719
111,2828,0.0016991575774517231,0.09423652902496481
112,1087,0.004684174354257154,0.031194412362401457
113,7412,0.009716114501386519,0.033633005132353296
114,9215,0.010667717464145597,0.05569927380416682
115,9554,0.0010580533885359818,0.03332027718411022
116,2750,0.001674105509189611,0.02981262585034658
117,8331,0.0015936517408805023,0.020894979592881308
118,9152,0.019743581242274565,0.046928854068732796
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,,,
229,,,
230,,,
231,,,
232,,,
233,,,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,,,
241,,,
242,,,
243,,,
244,,,
245,,,
246,,,
247,,,
248,,,
249,,,
250,,,
251,,,
252,,,
253,,,
254,,,
255,,,
256,,,
257,,,
258,,,
259,,,
260,,,
261,,,
262,,,
263,,,
264,,,
265,,,
266,,,
267,,,
268,,,
269,,,
270,,,
271,,,
272,,,
273,,,
274,,,
275,,,
276,,,
277,,,
278,,,
279,,,
280,,,
281,,,
282,,,
283,,,
284,,,
285,,,
286,,,
287,,,
288,,,
289,,,
290,,,
291,,,
292,,,
293,,,
294,,,
295,,,
296,,,
297,,,
298,,,
299,,,
300,,,
301,,,
302,,,
303,,,
304,,,
305,,,
306,,,
307,,,
308,,,
309,,,
310,,,
311,,,
312,,,
313,,,
314,,,
315,,,
316,,,
317,,,
318,,,
319,,,
320,,,
321,,,
322,,,
323,,,
324,,,
325,,,
326,,,
327,,,
328,,,
329,,,
330,,,
331,,,
332,,,
333,,,
334,,,
335,,,
336,,,
337,,,
338,,,
339,,,
340,,,
341,,,
342,,,
343,,,
344,,,
345,,,
346,,,
347,,,
348,,,
349,,,
350,,,
351,,,
352,,,
353,,,
354,,,
355,,,
356,,,
357,,,
358,,,
359,,,
360,,,
361,,,
362,,,
363,,,
364,,,
365,,,
366,,,
367,,,
368,,,
369,,,
370,,,
371,,,
372,,,
373,,,
374,,,
375,,,
376,,,
377,,,
378,,,
379,,,
380,,,
381,,,
382,,,
383,,,
384,,,
385,,,
386,,,
387,,,
388,,,
389,,,
390,,,
391,,,
392,,,
393,,,
394,,,
395,,,
396,,,
397,,,
398,,,
399,,,
400,,,
401,,,
402,,,
403,,,
404,,,
405,,,
406,,,
407,,,
408,,,
409,,,
410,,,
411,,,
412,,,
413,,,
414,,,
415,,,
416,,,
417,,,
418,,,
419,,,
420,,,
421,,,
422,,,
423,,,
424,,,
425,,,
426,,,
427,,,
428,,,
429,,,
430,,,
431,,,
432,,,
433,,,
434,,,
435,,,
436,,,
437,,,
438,,,
439,,,
440,,,
441,,,
442,,,
443,,,
444,,,
445,,,
446,,,
447,,,
448,,,
449,,,
450,,,
451,,,
452,,,
453,,,
454,,,
455,,,
456,,,
457,,,
458,,,
459,,,
460,,,
461,,,
462,,,
463,,,
464,,,
465,,,
466,,,
467,,,
468,,,
469,,,
470,,,
471,,,
472,,,
473,,,
474,,,
475,,,
476,,,
477,,,
478,,,
479,,,
480,,,
481,,,
482,,,
483,,,
484,,,
485,,,
486,,,
487,,,
488,,,
489,,,
490,,,
491,,,
492,,,
493,,,
494,,,
495,,,
496,,,
497,,,
498,,,
499,,,
